TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
6.9721 0.0624 0.1612
8.8197 0.4421 0.7496
5.8766 0.2257 0.1575
8.1695 0.45475 0.8351
4.9943 0.7103 0.4542
8.7678 0.5773 0.6901
8.4288 0.1155 0.0496
9.6758 0.5857 0.743
5.761 0.5103 0.68505
5.8436 0.5848 0.6068
8.3116 0.02335 0.1174
8.5257 0.0364 0.20605
7.0114 0.0246 0.5908
1.8724 0.4741 0.6291
11.481 0.05205 0.6137
10.1102 0.2692 0.0938
6.208 0.0805 0.8335
6.7004 0.7447 0.5571
7.8127 0.11625 0.29285
0.0 0.4534 0.343
6.438 0.0293 0.455
2.5986 0.03625 0.3561
1.3768 0.1178 0.5075
10.8338 0.56005 0.7881
6.6246 0.08095 0.0636
10.775 0.07885 0.4453
9.7993 0.03305 0.4883
8.7112 0.02675 0.0425
10.9176 0.01995 0.0595
3.4743 0.30715 0.2484
2.7201 0.7319 0.51765
12.8539 0.45005 0.88
2.2407 0.49145 0.7686
7.7192 0.0751 0.8307
6.4987 0.21865 0.11955
7.4907 0.62255 0.6664
11.9031 0.7624 0.9576
7.9401 0.45245 0.8586
5.0988 0.6054 0.0428
6.9722 0.06025 0.5786
8.218 0.823 0.7642
9.5414 0.5651 0.8579
8.0615 0.8367 0.8924
10.2723 0.028 0.0341
8.7112 0.3386 0.7915
3.1674 0.4882 0.6548
10.7757 0.034 0.46
11.0668 0.36805 0.8054
9.2361 0.8261 0.55595
6.7689 0.0737 0.1255
11.1106 0.7518 0.7357
8.8983 0.1437 0.6882
7.064 0.3476 0.65815
1.7636 0.06235 0.4481
0 0.286 0.3041
0.0 0.4883 0.3979
11.5407 0.46505 0.56715
0.0 0.3117 0.0686
0.0 0.8942 0.5481
13.4434 0.0202 0.6662
2.7201 0.66465 0.4267
8.2102 0.8787 0.5162
6.9319 0.4787 0.5593
0.0 0.3214 0.3901
7.3818 0.0276 0.3775
4.5621 0.1186 0.2609
9.2898 0.0575 0.3263
4.4066 0.0265 0.1039
12.1731 0.0573 0.2412
7.0025 0.0643 0.5728
1.2208 0.4953 0.4881
7.2496 0.177 0.076
11.6639 0.0932 0.8082
7.134 0.682 0.20305
